outcome,start_period,pre_mean,event_mean,post_mean,event_minus_pre,post_minus_event,permutation_id,permutation_type,fake_high_col
perm_gap,2017-04,0.022588005795096972,0.03813242387505955,0.054866895922813796,0.015544418079962579,0.016734472047754245,38,random_high_and_fake_start,log_spi_financial
perm_gap,2024-09,0.01091261113022964,-0.0970112181826804,-0.15166031134488644,-0.10792382931291003,-0.05464909316220605,39,random_high_and_fake_start,log_spi_financial
perm_gap,2025-09,0.12834220654793485,0.12529426647418904,0.1966755331091218,-0.003047940073745814,0.07138126663493277,40,random_high_and_fake_start,log_spi_admin_support
perm_gap,2017-12,0.006639252926324168,0.4103811204903958,0.3420171799729103,0.40374186756407165,-0.06836394051748551,41,random_high_and_fake_start,log_spi_afs
perm_gap,2017-07,0.03813242387505955,0.054866895922813796,-0.10672397391508603,0.016734472047754245,-0.16159086983789983,42,random_high_and_fake_start,log_spi_financial
perm_gap,2017-05,0.036927402687224976,0.036681311791183724,0.035434885399898995,-0.0002460908960412525,-0.0012464263912847287,43,random_high_and_fake_start,log_spi_professional
perm_gap,2024-06,-0.06855850040663174,-0.1060060912678112,-0.015043984080657916,-0.037447590861179464,0.09096210718715328,44,random_high_and_fake_start,log_spi_real_estate
perm_gap,2023-04,-0.02655005804185843,-0.0013613686966795768,0.057129672127710286,0.025188689345178854,0.05849104082438986,45,random_high_and_fake_start,log_spi_financial
perm_gap,2023-10,-0.0846621484420238,0.04075530412633377,-0.04235085218831092,0.12541745256835757,-0.08310615631464469,46,random_high_and_fake_start,log_spi_real_estate
perm_gap,2018-11,0.18033518155082393,0.22121446174407092,0.22040548242403268,0.04087928019324699,-0.0008089793200382334,47,random_high_and_fake_start,log_spi_admin_support
perm_gap,2017-12,0.006639252926324168,0.4103811204903958,0.3420171799729103,0.40374186756407165,-0.06836394051748551,48,random_high_and_fake_start,log_spi_afs
perm_gap,2020-05,0.040993499235640364,-0.06610287162323096,-0.036858879816359824,-0.10709637085887133,0.029243991806871136,49,random_high_and_fake_start,log_spi_admin_support
perm_gap,2019-10,0.22594124586806608,0.27635072459962756,0.0900140073131898,0.050409478731561486,-0.18633671728643775,50,random_high_and_fake_start,log_spi_afs
perm_gap,2020-07,-0.026035633818827304,-0.06537856051197159,-0.02667181182983332,-0.03934292669314429,0.038706748682138276,51,random_high_and_fake_start,log_spi_admin_support
perm_gap,2024-10,-0.001619914234128809,-0.1544991082145349,-0.1445810888270751,-0.15287919398040611,0.009918019387459814,52,random_high_and_fake_start,log_spi_financial
perm_gap,2023-02,0.06998156361953474,0.04511762383923479,0.03996516529816733,-0.02486393978029995,-0.00515245854106746,53,random_high_and_fake_start,log_spi_professional
perm_gap,2018-06,0.09067085704401052,0.12804759880428632,-0.014177290866500178,0.03737674176027579,-0.1422248896707865,54,random_high_and_fake_start,log_spi_financial
perm_gap,2025-06,0.20889554533045995,0.1530082324460711,0.2359436325746668,-0.05588731288438886,0.08293540012859571,55,random_high_and_fake_start,log_spi_professional
perm_gap,2018-11,0.21067713426790954,0.3354515926225486,0.34745533958525715,0.12477445835463905,0.012003746962708561,56,random_high_and_fake_start,log_spi_afs
perm_gap,2020-02,0.05550116102045551,0.01234647056479569,-0.03502168598376206,-0.043154690455659825,-0.04736815654855775,57,random_high_and_fake_start,log_spi_real_estate
perm_gap,2025-03,0.5100623516332439,0.34040449112926946,0.3019644675747255,-0.1696578605039744,-0.038440023554543956,58,random_high_and_fake_start,log_spi_afs
perm_gap,2020-09,0.16434062892884013,0.04587996279423597,0.0025090776861587116,-0.11846066613460415,-0.04337088510807726,59,random_high_and_fake_start,log_spi_financial
perm_gap,2018-04,0.0604203367495583,0.1154939360732552,0.10162122681469477,0.0550735993236969,-0.013872709258560434,60,random_high_and_fake_start,log_spi_financial
perm_gap,2017-12,0.1515152711320725,0.21803718180625045,0.24209997536295536,0.06652191067417795,0.024062793556704903,61,random_high_and_fake_start,log_spi_admin_support
perm_gap,2020-04,0.0054862118717471375,-0.002916916845211226,0.005478956928103666,-0.008403128716958363,0.008395873773314893,62,random_high_and_fake_start,log_spi_real_estate
perm_gap,2018-09,0.12804759880428632,-0.014177290866500178,-0.0496185483176926,-0.1422248896707865,-0.03544125745119242,63,random_high_and_fake_start,log_spi_financial
perm_gap,2016-10,-0.010623618891826503,0.020340250924268943,0.160974189462998,0.030963869816095446,0.14063393853872905,64,random_high_and_fake_start,log_spi_afs
perm_gap,2025-06,-0.1276271089878295,-0.06882482009246231,-0.21022096618452046,0.05880228889536719,-0.14139614609205814,65,random_high_and_fake_start,log_spi_financial
perm_gap,2025-09,-0.08418341235360878,-0.02572266639014605,-0.07179250599692526,0.058460745963462735,-0.04606983960677921,66,random_high_and_fake_start,log_spi_real_estate
perm_gap,2019-07,0.15963909258788433,0.17904857749771175,0.17593756232664384,0.019409484909827412,-0.0031110151710679046,67,random_high_and_fake_start,log_spi_admin_support
perm_gap,2017-05,0.1680218711854383,0.1429939370881419,0.142362286144443,-0.025027934097296395,-0.0006316509436989082,68,random_high_and_fake_start,log_spi_admin_support
perm_gap,2023-05,0.04511762383923479,0.03996516529816733,0.05437936099253774,-0.00515245854106746,0.014414195694370413,69,random_high_and_fake_start,log_spi_professional
perm_gap,2020-07,-0.026035633818827304,-0.06537856051197159,-0.02667181182983332,-0.03934292669314429,0.038706748682138276,70,random_high_and_fake_start,log_spi_admin_support
perm_gap,2025-04,0.1693016559094076,0.22260177381825041,0.1166832313375803,0.053300117908842815,-0.10591854248067012,71,random_high_and_fake_start,log_spi_admin_support
perm_gap,2018-03,0.4103811204903958,0.3420171799729103,0.22146549351567746,-0.06836394051748551,-0.12055168645723285,72,random_high_and_fake_start,log_spi_afs
perm_gap,2025-01,-0.1544991082145349,-0.1445810888270751,-0.08684420876709383,0.009918019387459814,0.057736880059981274,73,random_high_and_fake_start,log_spi_financial
perm_gap,2023-11,-0.0054928297338235526,-0.10578632278816702,-0.06314589516836211,-0.10029349305434347,0.04264042761980491,74,random_high_and_fake_start,log_spi_financial
perm_gap,2018-01,-0.10672397391508603,0.0604203367495583,0.1154939360732552,0.16714431066464433,0.0550735993236969,75,random_high_and_fake_start,log_spi_financial
