term,coef,std_error,t_value,p_value,ci_low,ci_high,nobs,r2,outcome,lag_length,spec,spec_type,interpretation_note,naive_std_error,standard_error_note,n_lags
const,0.10718506060203657,0.035475458395872454,3.0213862046813604,0.00251620199050832,0.03765443981107748,0.17671568139299565,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag0,0.017159276344637934,0.04071132310288415,0.42148658006701584,0.6733998086336495,-0.06263345069998845,0.09695200338926431,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag1,0.05527697723228091,0.028065178855392017,1.969592907891297,0.04888504511301946,0.000270237456037499,0.11028371700852432,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag2,0.07151303441695175,0.03601246250392928,1.9857857376220536,0.047057120084334325,0.000929904914651225,0.14209616391925228,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag3,0.0730980291808893,0.035203218523127855,2.0764586946180863,0.03785154756641735,0.00410098873566539,0.1420950696261132,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
z_foreign_tourists_thousand,0.19481081394268548,0.06978354816032366,2.791643862749984,0.005244103984749918,0.05803757283503477,0.33158405505033617,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
z_accommodation_occupancy_rate_total,0.2974734322129029,0.0331532292889278,8.972683463817212,2.8937676632873753e-19,0.23249429683540596,0.36245256759039984,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
z_nonresident_expenditure_index,-0.16181713600595998,0.040813606915862645,-3.96478400793016,7.346243508293246e-05,-0.24181033564022564,-0.08182393637169433,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_2,-0.02075036309380962,0.024923088713670046,-0.8325759030993727,0.4050839538477914,-0.06959871935609961,0.02809799316848037,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_3,0.023804465780121825,0.03543481512475384,0.6717818534205543,0.5017225828344358,-0.04564649566323088,0.09325542722347453,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_4,-0.09626019374632122,0.04573016956278757,-2.104960350390914,0.0352947595967562,-0.18588967909629464,-0.006630708396347801,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_5,-0.1309626965039274,0.04128322494962439,-3.172298110521497,0.0015123767289507558,-0.21187633057085659,-0.05004906243699819,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_6,-0.12022703549964478,0.04617130481882445,-2.6039341095386836,0.009216047273582812,-0.21072113006376136,-0.02973294093552821,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_7,-0.060986776053467834,0.043625870455292017,-1.397949781104479,0.16212814814825804,-0.1464919109400502,0.024518358833114526,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_8,-0.057975815909253645,0.04448902684238952,-1.3031486643806243,0.19252401222713467,-0.14517270622757283,0.029221074409065545,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_9,-0.07649898350875815,0.04853687992863585,-1.5761001453170291,0.11500272557579316,-0.17162952009082943,0.01863155307331313,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_10,-0.02482354783975657,0.04698054758327987,-0.5283792785887226,0.59723611665362,-0.1169037290769554,0.06725663339744226,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_11,-0.04096314993382855,0.04444109370601061,-0.9217403650056508,0.3566640203187106,-0.12806609303117902,0.046139793163521924,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
