term,coef,std_error,t_value,p_value,ci_low,ci_high,nobs,r2,outcome,lag_length,spec,spec_type,interpretation_note,naive_std_error,standard_error_note,n_lags
month_4,-0.2657265959384007,0.1393136248970072,-1.9073984768887395,0.05646900647640002,-0.5387762832922574,0.007323091415456007,111.0,0.49427988912726806,gap_equal_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_5,-0.37582747181104476,0.11756141008495716,-3.196860870752133,0.0013893192034151007,-0.6062436015493047,-0.14541134207278483,111.0,0.49427988912726806,gap_equal_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_6,-0.38094371892329804,0.08804754987682144,-4.326568081181572,1.5145052371314967e-05,-0.5535137456088621,-0.20837369223773394,111.0,0.49427988912726806,gap_equal_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_7,-0.303585522042254,0.09783926072152786,-3.102900817150749,0.0019163385257227167,-0.49534694933047296,-0.11182409475403501,111.0,0.49427988912726806,gap_equal_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_8,-0.31422771156696083,0.09918383741804869,-3.1681342418979663,0.001534206610883773,-0.5086244607548125,-0.11983096237910923,111.0,0.49427988912726806,gap_equal_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_9,-0.2928356355969599,0.07072791459416786,-4.1403120292352975,3.468337171141682e-05,-0.4314598009031538,-0.15421147029076604,111.0,0.49427988912726806,gap_equal_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_10,-0.1542370126792766,0.07434539571929301,-2.0746007360244816,0.03802355384115842,-0.2999513107054692,-0.008522714653084018,111.0,0.49427988912726806,gap_equal_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_11,-0.08592974352986504,0.07649708049883291,-1.1233074905541793,0.2613069236197003,-0.23586126623003886,0.06400177917030878,111.0,0.49427988912726806,gap_equal_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_12,0.12736059146997847,0.059648991265893764,2.1351675655712388,0.03274732523552972,0.01045071687468245,0.24427046606527447,111.0,0.49427988912726806,gap_equal_main,3,B_price_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
cumulative_policy_intensity_m_lag,-0.6575730330876504,,,,,,,,gap_equal_main,3,B_price_month_fe,main_policy_only,Cumulative dynamic relative response; naive SE ignores lag covariance.,0.1686362334365802,naive_std_error ignores covariance across lag coefficients,4.0
const,0.10001197736278854,0.03288663565958986,3.0411130648332128,0.002357053020021007,0.03555535589730177,0.1644685988282753,120.0,0.9316505795963165,gap_equal_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag0,0.008311508626293325,0.037432962773604736,0.22203715683851918,0.8242849582132719,-0.06505575024460053,0.08167876749718717,120.0,0.9316505795963165,gap_equal_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag1,0.05253047435913749,0.026046505256194286,2.0167954910820476,0.04371685968971463,0.0014802621338634789,0.1035806865844115,120.0,0.9316505795963165,gap_equal_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag2,0.059998637323318976,0.034546711451158375,1.7367394696350231,0.08243316757814452,-0.007711672905248906,0.12770894755188686,120.0,0.9316505795963165,gap_equal_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag3,0.06350012190096488,0.03271593080653913,1.9409541570577207,0.052263838126475184,-0.000621924200556262,0.12762216800248602,120.0,0.9316505795963165,gap_equal_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
z_foreign_tourists_thousand,0.16046107348141397,0.06857046407779796,2.3400902362183187,0.01927908120230674,0.026065433485732453,0.2948567134770955,120.0,0.9316505795963165,gap_equal_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
z_accommodation_occupancy_rate_total,0.28097268480628973,0.03251938392529992,8.6401601411549,5.613428266216006e-18,0.21723586351327112,0.34470950609930834,120.0,0.9316505795963165,gap_equal_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
z_nonresident_expenditure_index,-0.12884595903490192,0.03942709329441265,-3.267954806426502,0.0010832766198546392,-0.2061216419070514,-0.05157027616275246,120.0,0.9316505795963165,gap_equal_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_2,-0.015817956633946945,0.023678885073897888,-0.6680194859082983,0.5041211541751146,-0.06222771857284986,0.03059180530495597,120.0,0.9316505795963165,gap_equal_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_3,0.023488925330706165,0.03223874113504765,0.7285931306160924,0.4662505817547633,-0.03969784620089717,0.0866756968623095,120.0,0.9316505795963165,gap_equal_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_4,-0.07970109647087721,0.045575848796436134,-1.7487572601634036,0.08033298754573792,-0.1690281186767352,0.009625925734980778,120.0,0.9316505795963165,gap_equal_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_5,-0.09805357570386711,0.039349701321751335,-2.4918505709131273,0.012707948865752423,-0.1751775730969079,-0.020929578310826327,120.0,0.9316505795963165,gap_equal_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_6,-0.09120872161301771,0.043252420073684815,-2.108754179711437,0.034965805537061634,-0.1759819072016372,-0.006435536024398211,120.0,0.9316505795963165,gap_equal_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
